"ANO_ELEICAO","NUM_TURNO","COD_MUN_IBGE","NOME_MACRO","CODIGO_CARGO","DESCRICAO_CARGO","NUMERO_PARTIDO","SIGLA_PARTIDO","QTDE_VOTOS"
"2004","1","2307635","Nordeste","11","PREFEITO","12","PDT","3314"
"2004","1","2309409","Nordeste","11","PREFEITO","12","PDT","6128"
"2004","1","2310100","Nordeste","11","PREFEITO","12","PDT","3193"
"2004","1","2313609","Nordeste","11","PREFEITO","12","PDT","420"
"2004","1","2401404","Nordeste","11","PREFEITO","12","PDT","1209"
"2004","1","2401503","Nordeste","11","PREFEITO","12","PDT","1020"
"2004","1","2401651","Nordeste","11","PREFEITO","12","PDT","908"
"2004","1","2401859","Nordeste","11","PREFEITO","12","PDT","2229"
"2004","1","2402006","Nordeste","11","PREFEITO","12","PDT","12097"
"2004","1","2402204","Nordeste","11","PREFEITO","12","PDT","10039"
"2004","1","2403509","Nordeste","11","PREFEITO","12","PDT","63"
"2004","1","2403905","Nordeste","11","PREFEITO","12","PDT","928"
"2004","1","2405009","Nordeste","11","PREFEITO","12","PDT","1434"
"2004","1","2405603","Nordeste","11","PREFEITO","12","PDT","5569"
"2004","1","2405702","Nordeste","11","PREFEITO","12","PDT","3393"
"2004","1","2406007","Nordeste","11","PREFEITO","12","PDT","2747"
"2004","1","2406403","Nordeste","11","PREFEITO","12","PDT","191"
"2004","1","2407708","Nordeste","11","PREFEITO","12","PDT","2507"
"2004","1","2407906","Nordeste","11","PREFEITO","12","PDT","816"
"2004","1","2409803","Nordeste","11","PREFEITO","12","PDT","1472"
"2004","1","2409902","Nordeste","11","PREFEITO","12","PDT","227"
"2004","1","2410306","Nordeste","11","PREFEITO","12","PDT","1992"
"2004","1","2414159","Nordeste","11","PREFEITO","12","PDT","1414"
"2004","1","2414209","Nordeste","11","PREFEITO","12","PDT","2777"
"2004","1","2415008","Nordeste","11","PREFEITO","12","PDT","842"
"2004","1","2500734","Nordeste","11","PREFEITO","12","PDT","863"
