cve_entIFE,cve_mpioIFE,seccion,pobtot1994,avgpoverty,pobelegiblep,treatment,numerotreated,numerocontrol,one_random,two_random,early_progresa_p,villages,villages2,pri1994,votos_totales1994,pan1994,prd1994,t2000,t1994,pri2000s,pri1994s,pan2000s,pan1994s,prd2000s,prd1994s,rep_total,rep_PAN,rep_PRD,rep_PRI,_Ivillages_2,_Ivillages_3,_Ivillages_4,_Ivillages_5,_Ivillages_6,_Ivillages_7,_Ivillages_8,_Ivillages_9,_Ivillages_10,_Ivillages_11,_Ivillages_12,_Ivillages_13,_Ivillages_14
21,111,904,3980,3.8333332538604736,0.9198492169380188,1,1,NA,1,0,0.6804123520851135,6,NA,558,862,93,137,0.43393537402153015,0.4343321621417999,0.21435360610485077,0.2811570167541504,0.1749049425125122,0.0468595027923584,0.02376425825059414,0.06902959197759628,16,6,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0
21,112,914,956,4.833333492279053,1,1,1,NA,1,0,0.9915966391563416,8,NA,304,342,11,17,0.6185064911842346,0.6187999844551086,0.4107142984867096,0.5500444173812866,0.06168831139802933,0.019902922213077545,0.11363636702299118,0.030759062618017197,7,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0
21,112,916,1338,5,1,1,1,NA,1,0,0.8387096524238586,11,NA,252,356,14,62,0.5097275972366333,0.5425771474838257,0.3839170038700104,0.3840714693069458,0.011673151515424252,0.021337304264307022,0.0959792509675026,0.09449377655982971,14,4,4,6,0,0,0,0,0,0,0,0,0,1,0,0,0
21,112,921,1698,5,1,1,1,NA,1,0,0.9748743772506714,8,NA,289,475,6,94,0.6486199498176575,0.5867919325828552,0.4511677324771881,0.35701656341552734,0.037154991179704666,0.007412108592689037,0.1082802563905716,0.11612303555011749,15,5,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0
21,117,1630,1411,4.666666507720947,1,1,1,NA,1,0,0.9933333396911621,6,NA,231,307,8,51,0.5638450384140015,0.44616055488586426,0.3256814777851105,0.3357103765010834,0.21377331018447876,0.011626333929598331,0.020086083561182022,0.07411787658929825,8,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0
21,117,1631,1242,4.5,1,1,1,1,1,0,0.71875,5,NA,222,236,11,2,0.5111111402511597,0.4300490617752075,0.364814817905426,0.4045376777648926,0.10740740597248077,0.020044660195708275,0.0018518518190830946,0.0036444836296141148,8,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0
21,124,1682,1888,5,1,1,1,NA,1,0,0.9930070042610168,5,NA,275,537,131,9,0.6883910298347473,0.5439592003822327,0.30346232652664185,0.27856382727622986,0.02545824833214283,0.1326976865530014,0.33299389481544495,0.009116634726524353,18,6,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0
21,149,1883,9953,3.5,0.01155430544167757,1,1,NA,1,0,0.006269592326134443,2,NA,438,725,187,62,0.12491992115974426,0.13376881182193756,0.046925049275159836,0.08081480860710144,0.06710442155599594,0.03450312837958336,0.008167841471731663,0.01143953949213028,16,6,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0
21,151,1896,2050,4.5,1,0,NA,1,1,0,0.7228915691375732,5,NA,514,705,61,40,0.5428276658058167,0.7731029987335205,0.31682145595550537,0.5636523962020874,0.08668730407953262,0.0668926015496254,0.07533539831638336,0.04386400058865547,16,6,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0
21,153,1927,2152,4,1,1,1,NA,1,0,0.7301037907600403,3,NA,301,465,87,45,0.4618573784828186,0.4554719030857086,0.2951907217502594,0.29483234882354736,0.10447761416435242,0.08521732687950134,0.04394693300127983,0.04407792538404465,16,6,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0
