Game,Subject_ethnicity,Recipient_Pairing,Recipient,Recipient_ethnicity,Amount,Fairness,Subject_Gender,Subject_Age,Subject_Education
204,Bosnjak,Bosnjak Serb,2,Bosnjak,6,1,0,46,3
205,Bosnjak,Croat Serb,1,Croat,5,1,1,42,3
205,Bosnjak,Croat Serb,2,Serb,5,1,1,42,3
206,Bosnjak,Croat Serb,1,Croat,5,0,1,54,1
206,Bosnjak,Croat Serb,2,Serb,5,0,1,54,1
207,Bosnjak,Bosnjak Serb,1,Bosnjak,5,1,1,28,2
207,Bosnjak,Bosnjak Serb,2,Serb,5,1,1,28,2
208,Bosnjak,Bosnjak Serb,1,Serb,5,1,1,30,4
208,Bosnjak,Bosnjak Serb,2,Bosnjak,5,1,1,30,4
209,Bosnjak,Bosnjak Serb,1,Bosnjak,7,1,0,48,3
209,Bosnjak,Bosnjak Serb,2,Serb,3,1,0,48,3
21,Bosnjak,Croat Serb,1,Croat,5,0,0,22,3
21,Bosnjak,Croat Serb,2,Serb,5,0,0,22,3
210,Bosnjak,Croat Serb,1,Serb,5,0,0,19,3
210,Bosnjak,Croat Serb,2,Croat,5,0,0,19,3
211,Bosnjak,Croat Serb,1,Croat,5,1,0,25,3
211,Bosnjak,Croat Serb,2,Serb,5,1,0,25,3
212,Bosnjak,Bosnjak Croat,1,Bosnjak,5,0,1,39,3
212,Bosnjak,Bosnjak Croat,2,Croat,5,0,1,39,3
213,Bosnjak,Bosnjak Croat,1,Croat,5,1,1,37,4
213,Bosnjak,Bosnjak Croat,2,Bosnjak,5,1,1,37,4
214,Bosnjak,Bosnjak Croat,1,Croat,5,1,0,54,3
214,Bosnjak,Bosnjak Croat,2,Bosnjak,5,1,0,54,3
215,Bosnjak,Croat Serb,1,Croat,5,0,1,35,3
215,Bosnjak,Croat Serb,2,Serb,5,0,1,35,3
216,Bosnjak,Bosnjak Serb,1,Bosnjak,5,0,1,38,4
216,Bosnjak,Bosnjak Serb,2,Serb,5,0,1,38,4
217,Bosnjak,Bosnjak Croat,1,Bosnjak,5,1,1,28,3
217,Bosnjak,Bosnjak Croat,2,Croat,5,1,1,28,3
218,Bosnjak,Bosnjak Croat,1,Bosnjak,5,1,0,33,3
218,Bosnjak,Bosnjak Croat,2,Croat,5,1,0,33,3
219,Bosnjak,Bosnjak Croat,1,Bosnjak,5,1,0,21,3
219,Bosnjak,Bosnjak Croat,2,Croat,5,1,0,21,3
22,Bosnjak,Bosnjak Serb,1,Serb,3,1,1,21,3
22,Bosnjak,Bosnjak Serb,2,Bosnjak,7,1,1,21,3
220,Bosnjak,Bosnjak Croat,1,Croat,5,0,1,24,3
220,Bosnjak,Bosnjak Croat,2,Bosnjak,5,0,1,24,3
221,Bosnjak,Bosnjak Serb,1,Serb,5,1,1,28,3
221,Bosnjak,Bosnjak Serb,2,Bosnjak,5,1,1,28,3
222,Bosnjak,Bosnjak Serb,1,Bosnjak,10,1,1,48,4
222,Bosnjak,Bosnjak Serb,2,Serb,0,1,1,48,4
223,Bosnjak,Croat Serb,1,Serb,5,0,0,34,3
223,Bosnjak,Croat Serb,2,Croat,5,0,0,34,3
224,Bosnjak,Croat Serb,1,Croat,5,0,0,32,3
224,Bosnjak,Croat Serb,2,Serb,5,0,0,32,3
225,Croat,Croat Serb,1,Serb,0,1,1,53,4
225,Croat,Croat Serb,2,Croat,10,1,1,53,4
226,Croat,Croat Serb,1,Croat,10,1,1,45,3
226,Croat,Croat Serb,2,Serb,0,1,1,45,3
227,Croat,Bosnjak Serb,1,Bosnjak,6,0,0,23,3
227,Croat,Bosnjak Serb,2,Serb,4,0,0,23,3
228,Croat,Croat Serb,1,Croat,5,0,0,22,3
228,Croat,Croat Serb,2,Serb,5,0,0,22,3
229,Croat,Croat Serb,1,Serb,5,0,1,44,4
229,Croat,Croat Serb,2,Croat,5,0,1,44,4
23,Croat,Bosnjak Serb,1,Bosnjak,5,1,1,44,4
23,Croat,Bosnjak Serb,2,Serb,5,1,1,44,4
230,Croat,Bosnjak Serb,1,Bosnjak,5,0,0,28,3
230,Croat,Bosnjak Serb,2,Serb,5,0,0,28,3
231,Croat,Bosnjak Serb,1,Bosnjak,6,1,0,28,3
231,Croat,Bosnjak Serb,2,Serb,4,1,0,28,3
232,Croat,Bosnjak Serb,1,Serb,5,1,0,28,3
232,Croat,Bosnjak Serb,2,Bosnjak,5,1,0,28,3
233,Croat,Bosnjak Croat,1,Bosnjak,5,1,1,35,4
233,Croat,Bosnjak Croat,2,Croat,5,1,1,35,4
234,Croat,Bosnjak Serb,1,Serb,5,0,1,46,4
234,Croat,Bosnjak Serb,2,Bosnjak,5,0,1,46,4
235,Croat,Croat Serb,1,Serb,5,1,1,54,1
235,Croat,Croat Serb,2,Croat,5,1,1,54,1
236,Croat,Croat Serb,1,Croat,5,1,0,26,3
236,Croat,Croat Serb,2,Serb,5,1,0,26,3
237,Croat,Bosnjak Croat,1,Bosnjak,0,1,0,25,3
237,Croat,Bosnjak Croat,2,Croat,10,1,0,25,3
238,Croat,Bosnjak Croat,1,Croat,5,1,1,19,3
238,Croat,Bosnjak Croat,2,Bosnjak,5,1,1,19,3
239,Croat,Bosnjak Croat,1,Croat,10,0,0,18,2
239,Croat,Bosnjak Croat,2,Bosnjak,0,0,0,18,2
24,Croat,Bosnjak Croat,1,Bosnjak,5,0,0,23,3
24,Croat,Bosnjak Croat,2,Croat,5,0,0,23,3
240,Croat,Bosnjak Croat,1,Bosnjak,5,1,1,20,3
240,Croat,Bosnjak Croat,2,Croat,5,1,1,20,3
241,Croat,Bosnjak Serb,1,Bosnjak,3,0,0,20,3
241,Croat,Bosnjak Serb,2,Serb,7,0,0,20,3
242,Croat,Croat Serb,1,Croat,5,1,0,35,3
242,Croat,Croat Serb,2,Serb,5,1,0,35,3
243,Croat,Bosnjak Serb,1,Serb,10,1,0,26,3
243,Croat,Bosnjak Serb,2,Bosnjak,0,1,0,26,3
244,Croat,Bosnjak Croat,1,Croat,10,0,1,38,3
244,Croat,Bosnjak Croat,2,Bosnjak,0,0,1,38,3
245,Croat,Bosnjak Croat,1,Croat,10,1,1,41,3
